brand,name_ja,model,id,verification_status,has_image,current_image_url,official_url,recommended_filename,target_folder
mont-bell,ガレナパック 30,ガレナパック 30,1201daaf-858e-47dd-9c28-a62adf79ee35,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1133163_tera.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1133163,ガレナパック 30 - 1201daaf.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,ガレナパック 30 Women's,ガレナパック 30 Women's,456643cc-db1e-4cf9-a01e-f3f5dbbff8c9,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1133165_mulb.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1133165,ガレナパック 30 Women's - 456643cc.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,クリマプラス100 ジャケット Men's,クリマプラス100 ジャケット Men's,e3a93409-4f89-4117-9ea6-ab8124ddb747,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1106591_gn.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1106591,クリマプラス100 ジャケット Men's - e3a93409.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,クリマプラス200 ジャケット Men's,クリマプラス200 ジャケット Men's,e63aa376-9d44-409d-a088-f899d516527a,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1106580_bk.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1106580,クリマプラス200 ジャケット Men's - e63aa376.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,クロノスドーム2,クロノスドーム2,29f7d3aa-4f74-4037-8c9b-b5bc5598b4ae,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1122718_gdog.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1122718,クロノスドーム2 - 29f7d3aa.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,コンパクトヘッドランプ,コンパクトヘッドランプ,63e6d3cc-6d81-4349-ba85-40fc75c55a54,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1124833_neyl.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1124833,コンパクトヘッドランプ - 63e6d3cc.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス アルパイン バロウバッグ #0,シームレス アルパイン バロウバッグ #0,bb528ee0-b72a-4f9d-8736-44fe17505e75,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121434_surd.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121434,シームレス アルパイン バロウバッグ #0 - bb528ee0.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス アルパイン バロウバッグ #1,シームレス アルパイン バロウバッグ #1,eef0dc6e-64c2-4a85-8088-c439b62793db,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121435_og.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121435,シームレス アルパイン バロウバッグ #1 - eef0dc6e.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス アルパイン バロウバッグ #3,シームレス アルパイン バロウバッグ #3,8a257791-7ed7-4246-9071-fe906c94e3c9,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121437_basm.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121437,シームレス アルパイン バロウバッグ #3 - 8a257791.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス アルパイン バロウバッグ #5,シームレス アルパイン バロウバッグ #5,cad4a9d0-faa3-43f2-9b0f-4005602008f0,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121438_blri.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121438,シームレス アルパイン バロウバッグ #5 - cad4a9d0.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス ダウンハガー800 #0,シームレス ダウンハガー800 #0,e457c25a-2a5e-47bc-bf3a-027c6a71d03d,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121484_rd.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121484,シームレス ダウンハガー800 #0 - e457c25a.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス ダウンハガー800 #1,シームレス ダウンハガー800 #1,2defb46c-f9bf-4179-8023-2ec01ea181e1,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121485_og.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121485,シームレス ダウンハガー800 #1 - 2defb46c.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス ダウンハガー800 #2,シームレス ダウンハガー800 #2,0e980ec9-0345-4fa0-a07d-0237ef6c5666,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121486_bl.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121486,シームレス ダウンハガー800 #2 - 0e980ec9.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス ダウンハガー800 #3,シームレス ダウンハガー800 #3,df6fa066-9695-43dd-b0c9-0d3cb23288f2,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121487_kh.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121487,シームレス ダウンハガー800 #3 - df6fa066.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス ダウンハガー800 #5,シームレス ダウンハガー800 #5,ba7ede3b-4705-4f35-8eb4-f04f9d2043f3,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121488_bgn.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121488,シームレス ダウンハガー800 #5 - ba7ede3b.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス ダウンハガー800 #7,シームレス ダウンハガー800 #7,96eec5b4-a241-4b76-9b08-8266fccc360b,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121489_pu.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121489,シームレス ダウンハガー800 #7 - 96eec5b4.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス ダウンハガー800 Women's #1,シームレス ダウンハガー800 Women's #1,318ad0b7-f363-456c-b2ba-b591fbb80870,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121499_pu.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121499,シームレス ダウンハガー800 Women's #1 - 318ad0b7.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス ダウンハガー800 Women's #2,シームレス ダウンハガー800 Women's #2,3409a1d0-d385-4cca-8b50-f79397642f0b,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121500_yl.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121500,シームレス ダウンハガー800 Women's #2 - 3409a1d0.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス ダウンハガー800 Women's #3,シームレス ダウンハガー800 Women's #3,d3d09dc0-79de-4c96-9212-eafb5b8b71b9,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121501_tq.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121501,シームレス ダウンハガー800 Women's #3 - d3d09dc0.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス バロウバッグ #3,シームレス バロウバッグ #3,538e98ef-9760-41ff-a35c-50a7916f1e7b,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121426_basm.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121426,シームレス バロウバッグ #3 - 538e98ef.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,シームレス バロウバッグ #5,シームレス バロウバッグ #5,a2187d77-00d8-4c07-83f8-57a02c58960b,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1121427_blri.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1121427,シームレス バロウバッグ #5 - a2187d77.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,ジェットパワー100G,ジェットパワー100G,608c9f97-09fb-4e2c-b0e9-8782945a6016,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s1824332.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1824332,ジェットパワー100G - 608c9f97.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
