id,brand,name_ja,model,batch_name,source_file,managed_file
19837f12-fc7a-4f4d-abc5-72d961c8a36d,finetrack,カミナモノポール1,カミナモノポール1,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/19837f12-fc7a-4f4d-abc5-72d961c8a36d.png,processed/by-brand-all/finetrack/カミナモノポール1 - 19837f12.png
bce09673-644a-4b49-baf0-ef6b5e962642,finetrack,カミナモノポール2,カミナモノポール2,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/bce09673-644a-4b49-baf0-ef6b5e962642.png,processed/by-brand-all/finetrack/カミナモノポール2 - bce09673.png
9514f16a-658b-4f9b-97de-9ca230a9501b,NEMO,Fillo™,Fillo,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/9514f16a-658b-4f9b-97de-9ca230a9501b.png,processed/by-brand-all/NEMO/Fillo™ - Fillo - 9514f16a.png
213b0565-8926-4ace-9d94-6826c50c1754,NEMO,Fillo™ Elite,Fillo Elite,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/213b0565-8926-4ace-9d94-6826c50c1754.png,processed/by-brand-all/NEMO/Fillo™ Elite - Fillo Elite - 213b0565.png
95d65bdc-442b-4c1f-8937-15ad450605da,NEMO,Fillo™ Elite Wide,Fillo Elite Wide,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/95d65bdc-442b-4c1f-8937-15ad450605da.png,processed/by-brand-all/NEMO/Fillo™ Elite Wide - Fillo Elite Wide - 95d65bdc.png
bb67aec0-f9c2-4a30-9e84-237e03332717,Therm-a-Rest,NeoAir XLite NXT MAX レギュラーワイド,NeoAir XLite NXT MAX Regular Wide,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/bb67aec0-f9c2-4a30-9e84-237e03332717.png,processed/by-brand-all/Therm-a-Rest/NeoAir XLite NXT MAX レギュラーワイド - NeoAir XLite NXT MAX Regular Wide - bb67aec0.png
06258fba-df94-48fe-9c47-dab2b378d1cd,Therm-a-Rest,NeoAir XLite NXT レギュラー,NeoAir XLite NXT Regular,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/06258fba-df94-48fe-9c47-dab2b378d1cd.png,processed/by-brand-all/Therm-a-Rest/NeoAir XLite NXT レギュラー - NeoAir XLite NXT Regular - 06258fba.png
04b7c025-b597-4d8c-8834-257084f778ea,Therm-a-Rest,NeoAir XTherm NXT MAX レギュラーワイド,NeoAir XTherm NXT MAX Regular Wide,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/04b7c025-b597-4d8c-8834-257084f778ea.png,processed/by-brand-all/Therm-a-Rest/NeoAir XTherm NXT MAX レギュラーワイド - NeoAir XTherm NXT MAX Regular Wide - 04b7c025.png
70408436-1a10-4260-b839-b9e192ac71c8,Therm-a-Rest,NeoAir XTherm NXT レギュラー,NeoAir XTherm NXT Regular,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/70408436-1a10-4260-b839-b9e192ac71c8.png,processed/by-brand-all/Therm-a-Rest/NeoAir XTherm NXT レギュラー - NeoAir XTherm NXT Regular - 70408436.png
a875c87d-88b1-4f3c-a693-aee4ebf0a2f2,Therm-a-Rest,Original Z Lite,Original Z Lite,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/a875c87d-88b1-4f3c-a693-aee4ebf0a2f2.png,processed/by-brand-all/Therm-a-Rest/Original Z Lite - a875c87d.png
8db39943-cdf0-4db0-8780-b9e9b845e003,山と道,Pack Liner (3pcs.),Pack Liner (3pcs.),catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/8db39943-cdf0-4db0-8780-b9e9b845e003.png,processed/by-brand-all/山と道/Pack Liner (3pcs.) - 8db39943.png
59273438-5547-4588-8681-0db8468f528a,Therm-a-Rest,ProLite Apex レギュラー,ProLite Apex Regular,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/59273438-5547-4588-8681-0db8468f528a.png,processed/by-brand-all/Therm-a-Rest/ProLite Apex レギュラー - ProLite Apex Regular - 59273438.png
3cfa4e4f-b7cb-488d-ad57-88e778a880bc,Therm-a-Rest,ProLite Plus レギュラー,ProLite Plus Regular,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/3cfa4e4f-b7cb-488d-ad57-88e778a880bc.png,processed/by-brand-all/Therm-a-Rest/ProLite Plus レギュラー - ProLite Plus Regular - 3cfa4e4f.png
4a312956-857a-4aca-9046-d8e8a083aab7,Therm-a-Rest,RidgeRest Classic レギュラー,RidgeRest Classic Regular,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/4a312956-857a-4aca-9046-d8e8a083aab7.png,processed/by-brand-all/Therm-a-Rest/RidgeRest Classic レギュラー - RidgeRest Classic Regular - 4a312956.png
71dd593e-f4a5-400d-a859-db589a6a7af6,Caravan,C1_02S,C1_02S,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/71dd593e-f4a5-400d-a859-db589a6a7af6.png,processed/by-brand-all/Caravan/C1_02S - 71dd593e.png
e9c40673-76bb-4c0f-b11f-17880158fc7b,Caravan,C4_03,C4_03,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/e9c40673-76bb-4c0f-b11f-17880158fc7b.png,processed/by-brand-all/Caravan/C4_03 - e9c40673.png
a507f563-20a2-4054-bdb7-3169a6bff066,THE NORTH FACE,クライムライトジャケット（メンズ）,クライムライトジャケット（メンズ）,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/a507f563-20a2-4054-bdb7-3169a6bff066.png,processed/by-brand-all/THE NORTH FACE/クライムライトジャケット（メンズ） - a507f563.png
80ce0129-c378-43a5-abeb-8cb02a77e0d2,mont-bell,サンダーパス ジャケット Men's,サンダーパス ジャケット Men's,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/80ce0129-c378-43a5-abeb-8cb02a77e0d2.png,processed/by-brand-all/mont-bell/サンダーパス ジャケット Men's - 80ce0129.png
53b0a75a-e1ab-4bd2-b919-6890689bbbb7,mont-bell,サンダーパス ジャケット Women's,サンダーパス ジャケット Women's,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/53b0a75a-e1ab-4bd2-b919-6890689bbbb7.png,processed/by-brand-all/mont-bell/サンダーパス ジャケット Women's - 53b0a75a.png
f68a999f-21d4-4091-9dc1-ad33b32019b4,mont-bell,サンダーパス パンツ Men's,サンダーパス パンツ Men's,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/f68a999f-21d4-4091-9dc1-ad33b32019b4.png,processed/by-brand-all/mont-bell/サンダーパス パンツ Men's - f68a999f.png
9fafe576-5c27-47d2-bd85-f1c85add260f,mont-bell,ストームクルーザー ジャケット Men's,ストームクルーザー ジャケット Men's,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/9fafe576-5c27-47d2-bd85-f1c85add260f.png,processed/by-brand-all/mont-bell/ストームクルーザー ジャケット Men's - 9fafe576.png
f443c9f3-dea8-4fb0-ab75-0f865d11e5e2,mont-bell,ストームクルーザー ジャケット Women's,ストームクルーザー ジャケット Women's,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/f443c9f3-dea8-4fb0-ab75-0f865d11e5e2.png,processed/by-brand-all/mont-bell/ストームクルーザー ジャケット Women's - f443c9f3.png
435673ae-ac0e-4fe0-9f67-32b5671c8be7,mont-bell,ストームクルーザー パンツ Men's,ストームクルーザー パンツ Men's,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/435673ae-ac0e-4fe0-9f67-32b5671c8be7.png,processed/by-brand-all/mont-bell/ストームクルーザー パンツ Men's - 435673ae.png
d798689b-450c-4bbb-8340-f218e580a8df,mont-bell,ストームクルーザー パンツ Women's,ストームクルーザー パンツ Women's,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/d798689b-450c-4bbb-8340-f218e580a8df.png,processed/by-brand-all/mont-bell/ストームクルーザー パンツ Women's - d798689b.png
1360c2cf-7dca-449f-b747-f71388d8c14f,THE NORTH FACE,ストライクトレイルジャケット（メンズ）,ストライクトレイルジャケット（メンズ）,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/1360c2cf-7dca-449f-b747-f71388d8c14f.png,processed/by-brand-all/THE NORTH FACE/ストライクトレイルジャケット（メンズ） - 1360c2cf.png
ed4d1461-8ecc-4b95-9ca3-34896ded4dfc,THE NORTH FACE,ストライクトレイルジャケット（レディース）,ストライクトレイルジャケット（レディース）,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/ed4d1461-8ecc-4b95-9ca3-34896ded4dfc.png,processed/by-brand-all/THE NORTH FACE/ストライクトレイルジャケット（レディース） - ed4d1461.png
b9503f94-6fd7-48e0-b86b-b7b7b22978cb,mont-bell,バーサライト ジャケット Men's,バーサライト ジャケット Men's,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/b9503f94-6fd7-48e0-b86b-b7b7b22978cb.png,processed/by-brand-all/mont-bell/バーサライト ジャケット Men's - b9503f94.png
ed14cea0-5df6-4f2a-a632-5835899e5355,mont-bell,バーサライト ジャケット Women's,バーサライト ジャケット Women's,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/ed14cea0-5df6-4f2a-a632-5835899e5355.png,processed/by-brand-all/mont-bell/バーサライト ジャケット Women's - ed14cea0.png
3755f48c-66c1-49d6-b6eb-f49d5172e9f7,SOTO,マイクロレギュレーターストーブ ウインドマスター SOD-310,SOD-310,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/3755f48c-66c1-49d6-b6eb-f49d5172e9f7.png,processed/by-brand-all/SOTO/マイクロレギュレーターストーブ ウインドマスター SOD-310 - SOD-310 - 3755f48c.png
eaf7f11b-ca65-4c4e-a009-16bfe896263a,SOTO,アミカス SOD-320,SOD-320,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/eaf7f11b-ca65-4c4e-a009-16bfe896263a.png,processed/by-brand-all/SOTO/アミカス SOD-320 - SOD-320 - eaf7f11b.png
0e5648f7-14f7-4dc0-b993-f37ed6ad0b3a,SOTO,マイクロレギュレーターストーブ FUSION Trek SOD-331,SOD-331,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/0e5648f7-14f7-4dc0-b993-f37ed6ad0b3a.png,processed/by-brand-all/SOTO/マイクロレギュレーターストーブ FUSION Trek SOD-331 - SOD-331 - 0e5648f7.png
