id,brand,name_ja,model,official_weight_grams,weight_grams,msrp_jpy,verification_status,official_url,msrp_source_url,image_url
1913537e-b401-43d3-813f-067978a23204,finetrack,ドライレイヤーウォームロングスリーブ,ドライレイヤーウォームロングスリーブ,,,,needs_review,https://www.finetrack.com/products/,https://www.finetrack.com/products/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/1913537e-b401-43d3-813f-067978a23204.png
4dc304b2-f571-4279-9f4d-4ca8f8482206,finetrack,ドライレイヤークールT,ドライレイヤークールT,,,,needs_review,https://www.finetrack.com/products/,https://www.finetrack.com/products/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/4dc304b2-f571-4279-9f4d-4ca8f8482206.png
ee7362cb-6b6e-4346-b188-5ff9fb9a12aa,finetrack,ドライレイヤーベーシックT,ドライレイヤーベーシックT,,,,needs_review,https://www.finetrack.com/products/,https://www.finetrack.com/products/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/ee7362cb-6b6e-4346-b188-5ff9fb9a12aa.png
5aa633fb-eeb6-479e-ab23-f02d63eaf45f,finetrack,ドラウトクロージャケット,ドラウトクロージャケット,,,,needs_review,https://www.finetrack.com/products/,https://www.finetrack.com/products/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/5aa633fb-eeb6-479e-ab23-f02d63eaf45f.png
41fcf17c-c717-41ce-8e75-9847e6eb59e3,finetrack,ナノタオル,ナノタオル,,,,needs_review,https://www.finetrack.com/products/,https://www.finetrack.com/products/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/41fcf17c-c717-41ce-8e75-9847e6eb59e3.png
4bac0e06-ae46-4785-80ff-99a63d5ad019,finetrack,フロウラップフーディ,フロウラップフーディ,,,,needs_review,https://www.finetrack.com/products/,https://www.finetrack.com/products/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/4bac0e06-ae46-4785-80ff-99a63d5ad019.png
fd09b5b1-89ee-430a-92d8-c20878c41619,finetrack,ポリゴンULジャケット,ポリゴンULジャケット,,,,needs_review,https://www.finetrack.com/products/,https://www.finetrack.com/products/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/fd09b5b1-89ee-430a-92d8-c20878c41619.png
881863eb-43ee-4b69-a686-cafd2496084c,finetrack,メリノスピンライトロングスリーブ,メリノスピンライトロングスリーブ,,,,needs_review,https://www.finetrack.com/products/,https://www.finetrack.com/products/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/881863eb-43ee-4b69-a686-cafd2496084c.png
051f4953-46c6-41a5-a3e2-014921e1bdf0,Osprey,エイジャ48,エイジャ48,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/051f4953-46c6-41a5-a3e2-014921e1bdf0.png
37c98422-7c0a-40a7-ad77-1d3fb851a4c3,Osprey,エクソス48,エクソス48,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/37c98422-7c0a-40a7-ad77-1d3fb851a4c3.png
67bcabfe-d1b9-446c-97a2-a06cb01680f6,Osprey,シラス26,シラス26,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/67bcabfe-d1b9-446c-97a2-a06cb01680f6.png
