brand,name_ja,model,id,output_path,managed_file,source_image_url
mont-bell,ムーンライト テント4,ムーンライト テント4,1ee9cdc8-2fab-47ac-8ff4-ea1a5ebe9074,tmp/gear-images/processed/catalog-remaining-existing-visible/1ee9cdc8-2fab-47ac-8ff4-ea1a5ebe9074.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/mont-bell/ムーンライト テント4 - 1ee9cdc8.png,https://webshop.montbell.jp/common/images/product/prod_s/s_1122764_spgn.jpg
mont-bell,ライトツェルト,ライトツェルト,4188081d-c3d3-4ebf-ac9c-f677ac560f2f,tmp/gear-images/processed/catalog-remaining-existing-visible/4188081d-c3d3-4ebf-ac9c-f677ac560f2f.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/mont-bell/ライトツェルト - 4188081d.png,https://webshop.montbell.jp/common/images/product/prod_s/s_1122704_cyl.jpg
mont-bell,ライトツェルト L,ライトツェルト L,0bcec559-2fb8-48a7-a57f-bef946033177,tmp/gear-images/processed/catalog-remaining-existing-visible/0bcec559-2fb8-48a7-a57f-bef946033177.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/mont-bell/ライトツェルト L - 0bcec559.png,https://webshop.montbell.jp/common/images/product/prod_s/s_1122792_yl.jpg
NEMO,Tensor™ All-Season レギュラー マミー,Tensor All-Season Regular Mummy,fcbae488-fe27-4c84-8af4-6a917a5d870f,tmp/gear-images/processed/catalog-remaining-existing-visible/fcbae488-fe27-4c84-8af4-6a917a5d870f.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/NEMO/TensorTM All-Season レギュラー マミー - Tensor All-Season Regular Mummy - fcbae488.png,https://cdn.shopify.com/s/files/1/0895/7431/0174/files/Tensor-AllSeason-RegularMummy_811666035127_01-Main.jpg?v=1735122237
NEMO,Tensor™ Elite レギュラー マミー,Tensor Elite Regular Mummy,64a56625-ded7-44f8-b9d8-06848ffc9a82,tmp/gear-images/processed/catalog-remaining-existing-visible/64a56625-ded7-44f8-b9d8-06848ffc9a82.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/NEMO/TensorTM Elite レギュラー マミー - Tensor Elite Regular Mummy - 64a56625.png,https://cdn.shopify.com/s/files/1/0895/7431/0174/files/f4e58f05e387e925674dccbcb8798307.jpg?v=1736146478
NEMO,Tensor™ Extreme Conditions レギュラーマミー,Tensor Extreme Conditions Regular Mummy,0cbc5126-0e27-43a4-a9d6-158d640aa317,tmp/gear-images/processed/catalog-remaining-existing-visible/0cbc5126-0e27-43a4-a9d6-158d640aa317.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/NEMO/TensorTM Extreme Conditions レギュラーマミー - Tensor Extreme Conditions Regular Mummy - 0cbc5126.png,https://cdn.shopify.com/s/files/1/0895/7431/0174/files/edit_Tensor-ExtremeConditions-RegularMummy_811666034281_01-Main.jpg?v=1736146375
NEMO,Tensor™ Trail レギュラー マミー,Tensor Trail Regular Mummy,dc3a3186-3446-4ebf-935d-747995d98528,tmp/gear-images/processed/catalog-remaining-existing-visible/dc3a3186-3446-4ebf-935d-747995d98528.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/NEMO/TensorTM Trail レギュラー マミー - Tensor Trail Regular Mummy - dc3a3186.png,https://cdn.shopify.com/s/files/1/0895/7431/0174/files/Tensor-Trail-RegularMummy_811666035073_01-Main_f2e34f7c-55de-4b7d-aa8b-f4fbb0d0aeb5.jpg?v=1734669343
Osprey,エクソスプロ55,エクソスプロ55,7ac2f965-0551-49de-99ef-ede4fbf21928,tmp/gear-images/processed/catalog-remaining-existing-visible/7ac2f965-0551-49de-99ef-ede4fbf21928.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/Osprey/エクソスプロ55 - 7ac2f965.png,https://www.lostarrow.co.jp/img/goods/S/OS50380001_S.webp
Osprey,ケストレル38,ケストレル38,ffe22c2c-f312-4c43-8189-7654b839523f,tmp/gear-images/processed/catalog-remaining-existing-visible/ffe22c2c-f312-4c43-8189-7654b839523f.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/Osprey/ケストレル38 - ffe22c2c.png,https://www.lostarrow.co.jp/img/goods/S/OS50383003_S.webp
Osprey,ケストレル48,ケストレル48,9e876b9a-0c9a-45e2-9816-3e35afb28fc5,tmp/gear-images/processed/catalog-remaining-existing-visible/9e876b9a-0c9a-45e2-9816-3e35afb28fc5.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/Osprey/ケストレル48 - 9e876b9a.png,https://www.lostarrow.co.jp/img/goods/S/OS50382002_S.webp
